label,seed,delivered_useful,delivered_storm,evicted_useful,evicted_storm,processed_useful,processed_storm,snr,storm_capped_at_s,mean_blocked_s_per_normal,credits_charged
B1 free+bp,11,4082,70900,0,0,4063,70412,0.054555219872440414,,0.811301283871561,0
B1 free+bp,23,4014,72119,0,0,3966,71404,0.052620405997081066,,0.822949110156831,0
B1 free+bp,37,3994,72200,0,0,3946,71285,0.05245178184524996,,0.6993514078712783,0
B1 free+bp,42,4007,72179,0,0,3961,71176,0.052717036879300475,,0.6463163694887377,0
B1 free+bp,59,3950,71479,0,0,3917,70884,0.052365610085426666,,0.7876251515083752,0
B2 free-nobp,11,3981,191040,2248,114848,1699,74236,0.0223743991571739,,0.0,0
B2 free-nobp,23,4040,189040,2308,112737,1700,74367,0.02234871889255525,,0.0,0
B2 free-nobp,37,3981,189760,2250,113515,1697,74290,0.022332767447063313,,0.0,0
B2 free-nobp,42,4144,190020,2351,113658,1754,74403,0.02303136940793361,,0.0,0
B2 free-nobp,59,3960,189120,2203,112873,1713,74293,0.022537694392547956,,0.0,0
A1 prepaid+bp b2k,11,3913,2000,0,0,3912,2000,0.6617050067658998,12.478069684766202,0.0,5913
A1 prepaid+bp b2k,23,4036,2000,0,0,4035,2000,0.6685998342999171,12.02690765191605,0.0,6036
A1 prepaid+bp b2k,37,4009,2000,0,0,4008,2000,0.6671105193075899,12.040541590088301,0.0,6009
A1 prepaid+bp b2k,42,4073,2000,0,0,4069,2000,0.6704564178612622,11.995517515105075,0.0,6073
A1 prepaid+bp b2k,59,3940,2000,0,0,3939,2000,0.6632429701970028,11.900628363100605,0.0,5940
A2 prepaid-nobp b2k,11,3913,2000,0,0,3912,2000,0.6617050067658998,12.478069684766202,0.0,5913
A2 prepaid-nobp b2k,23,4036,2000,0,0,4035,2000,0.6685998342999171,12.02690765191605,0.0,6036
A2 prepaid-nobp b2k,37,4009,2000,0,0,4008,2000,0.6671105193075899,12.040541590088301,0.0,6009
A2 prepaid-nobp b2k,42,4073,2000,0,0,4069,2000,0.6704564178612622,11.995517515105075,0.0,6073
A2 prepaid-nobp b2k,59,3940,2000,0,0,3939,2000,0.6632429701970028,11.900628363100605,0.0,5940
A1 prepaid+bp b10k,11,3937,10000,0,0,3936,10000,0.28243398392652125,33.546924848543036,0.10565138412021806,13937
A1 prepaid+bp b10k,23,4023,10000,0,0,4023,10000,0.2868858304214505,32.5308049397467,0.10061795515330987,14023
A1 prepaid+bp b10k,37,3978,10000,0,0,3978,10000,0.2845900701101731,33.23454434035114,0.09402258540228958,13978
A1 prepaid+bp b10k,42,4015,10000,0,0,4014,10000,0.28642785785642927,32.8507322954543,0.0814896569633908,14015
A1 prepaid+bp b10k,59,3966,10000,0,0,3965,10000,0.2839240959541711,32.8799973144562,0.08374942639514175,13966
A2 prepaid-nobp b10k,11,3941,10000,102,4170,3837,5830,0.3969173476776663,20.09369930925006,0.0,13941
A2 prepaid-nobp b10k,23,4022,10000,100,4214,3922,5786,0.403996703749485,19.7906751390424,0.0,14022
A2 prepaid-nobp b10k,37,4019,10000,72,4070,3947,5930,0.3996152677938645,20.232172785046306,0.0,14019
A2 prepaid-nobp b10k,42,3998,10000,95,4101,3899,5899,0.3979383547662788,20.039129482931976,0.0,13998
A2 prepaid-nobp b10k,59,3978,10000,73,4268,3903,5732,0.40508562532433834,19.811840555528686,0.0,13978
A1 prepaid+bp b50k,11,4089,50000,0,0,4087,50000,0.07556344408083274,142.5091795658522,0.5606113470171996,54089
A1 prepaid+bp b50k,23,4010,50000,0,0,4009,50000,0.07422836934584977,140.40172491939035,0.5419283365079705,54010
A1 prepaid+bp b50k,37,3916,50000,0,0,3914,50000,0.07259709908372593,139.91214560794177,0.4858032621083216,53916
A1 prepaid+bp b50k,42,3975,50000,0,0,3975,50000,0.07364520611394164,141.5174338038402,0.4737224362428001,53975
A1 prepaid+bp b50k,59,3911,50000,0,0,3911,50000,0.07254549164363489,142.23816001214232,0.5445499099697089,53911
A2 prepaid-nobp b50k,11,4067,50000,605,28653,3459,21347,0.13944207046682255,60.153386574634375,0.0,54067
A2 prepaid-nobp b50k,23,3978,50000,551,28765,3427,21235,0.13895872192036332,59.602092569637996,0.0,53978
A2 prepaid-nobp b50k,37,3962,50000,550,28846,3410,21154,0.13882103891874287,59.220067644672376,0.0,53962
A2 prepaid-nobp b50k,42,4026,50000,593,28642,3432,21358,0.13844292053247276,59.66796940907538,0.0,54026
A2 prepaid-nobp b50k,59,4017,50000,551,28653,3466,21347,0.1396848426228187,59.684754716860525,0.0,54017
