t,delivered_useful,delivered_storm,processed_useful,processed_storm,inbox_fill_mean
1.0,19.4,0,17.8,0,0.001
2.0,42.2,0,41.8,0,0.0
3.0,61,0,59.6,0,0.001
4.0,79.4,0,78.4,0,0.001
5.0,100.2,0,99.8,0,0.0
6.0,118.8,0,118.2,0,0.0
7.0,139.4,0,138.4,0,0.001
8.0,156.6,0,155.6,0,0.001
9.0,175.4,0,174,0,0.001
10.0,197.2,20,195.8,0,0.011
11.0,218.6,1024,203.6,389.6,0.325
12.0,240,1944,211.8,797.2,0.588
13.0,264.6,2767.4,223.4,1189.4,0.81
14.0,287,3191,233.2,1588.8,0.828
15.0,306.4,3511.4,242.8,1983,0.796
16.0,330.2,3834.8,252,2381.2,0.766
17.0,350.6,4195.4,265.8,2776.6,0.752
18.0,368.4,4559.4,285.6,3166.4,0.738
19.0,388.8,4848,307,3541.2,0.694
20.0,410,5247.2,333.6,3916.6,0.704
21.0,427.2,5603.2,355,4278,0.699
22.0,448.8,5987.4,377.2,4658.8,0.7
23.0,468.4,6335,395.4,5024.4,0.692
24.0,487.4,6679,418.8,5401.4,0.673
25.0,506.8,6999.4,437.8,5784.6,0.642
26.0,527.4,7343.4,454.8,6170,0.623
27.0,547,7727.4,478,6538.6,0.629
28.0,564.6,8079.8,500.4,6912,0.616
29.0,586.4,8463,521.6,7275,0.626
30.0,609.6,8807.6,540,7661.8,0.608
31.0,629.6,9163.6,559,8052,0.591
32.0,647,9575.6,581.4,8431.2,0.605
33.0,667,10003.4,607,8810.4,0.626
34.0,685.2,10351.6,627.4,9204.4,0.603
35.0,707.2,10719.6,644,9580.8,0.601
36.0,726,11111.2,664.4,9948.6,0.612
37.0,747.8,11487.2,684,10325.4,0.613
38.0,770.4,11814.6,704,10718.2,0.581
39.0,789.2,12215.4,725,11096.6,0.591
40.0,807.4,12603.2,747.8,11474.4,0.594
41.0,830.2,12967,767.4,11833.6,0.598
42.0,848.4,13379.2,788,12216.6,0.611
43.0,868.8,13735.4,808.4,12583.6,0.606
44.0,890.4,14071.6,827,12958.4,0.588
45.0,908.4,14483.4,843.8,13335,0.607
46.0,930,14891.4,868,13709.6,0.622
47.0,945.4,15267.2,888.4,14085.4,0.619
48.0,962.6,15611.2,906.8,14457.6,0.605
49.0,984.6,15991.6,926.2,14836.8,0.607
50.0,1004,16391,944.2,15226.8,0.612
