t,delivered_useful,delivered_storm,processed_useful,processed_storm,inbox_fill_mean
1.0,19.4,0,17.8,0,0.001
2.0,42.2,0,41.8,0,0.0
3.0,61,0,59.6,0,0.001
4.0,79.4,0,78.4,0,0.001
5.0,100.2,0,99.8,0,0.0
6.0,118.8,0,118.2,0,0.0
7.0,139.4,0,138.4,0,0.001
8.0,156.6,0,155.6,0,0.001
9.0,175.4,0,174,0,0.001
10.0,197.2,20,195.8,0,0.011
11.0,218.6,1024,203.6,389.6,0.325
12.0,240,1924,211.8,797.6,0.577
13.0,263.2,2000,222.8,1181.4,0.429
14.0,284,2000,232.4,1569.2,0.241
15.0,306.4,2000,259.6,1897.8,0.074
16.0,329.6,2000,319.8,1994.4,0.008
17.0,350,2000,348.8,2000,0.001
18.0,367.2,2000,366.2,2000,0.001
19.0,387.8,2000,386.4,2000,0.001
20.0,410,2000,409.2,2000,0.0
21.0,434,2000,432.2,2000,0.001
22.0,450.8,2000,450.2,2000,0.0
23.0,471.8,2000,471.6,2000,0.0
24.0,493.6,2000,493,2000,0.0
25.0,513,2000,511.4,2000,0.001
26.0,529.6,2000,529.6,2000,0.0
27.0,550.2,2000,549.2,2000,0.001
28.0,568.2,2000,566.8,2000,0.001
29.0,586.6,2000,585.8,2000,0.0
30.0,604,2000,603.2,2000,0.0
31.0,624.2,2000,623.4,2000,0.0
32.0,647.6,2000,646.4,2000,0.001
33.0,669.2,2000,667.6,2000,0.001
34.0,691.4,2000,690,2000,0.001
35.0,713.4,2000,712.4,2000,0.001
36.0,736.2,2000,735.4,2000,0.0
37.0,755.8,2000,754.8,2000,0.001
38.0,776.2,2000,775.4,2000,0.0
39.0,793.2,2000,792.6,2000,0.0
40.0,811.2,2000,811,2000,0.0
41.0,834,2000,833.2,2000,0.0
42.0,855.4,2000,853.6,2000,0.001
43.0,876.6,2000,875.4,2000,0.001
44.0,894.6,2000,893.6,2000,0.001
45.0,917.6,2000,916.6,2000,0.001
46.0,932.8,2000,932.2,2000,0.0
47.0,951.6,2000,950.6,2000,0.001
48.0,971.8,2000,970.6,2000,0.001
49.0,995.8,2000,994.8,2000,0.001
50.0,1012.6,2000,1012,2000,0.0
51.0,1037.2,2000,1036,2000,0.001
52.0,1054.2,2000,1052.4,2000,0.001
53.0,1073.4,2000,1072.6,2000,0.0
54.0,1091.6,2000,1091.4,2000,0.0
