t,delivered_useful,delivered_storm,processed_useful,processed_storm,inbox_fill_mean
1.0,19.4,0,17.8,0,0.001
2.0,42.2,0,41.8,0,0.0
3.0,61,0,59.6,0,0.001
4.0,79.4,0,78.4,0,0.001
5.0,100.2,0,99.8,0,0.0
6.0,118.8,0,118.2,0,0.0
7.0,139.4,0,138.4,0,0.001
8.0,156.6,0,155.6,0,0.001
9.0,175.4,0,174,0,0.001
10.0,197.2,20,195.8,0,0.011
11.0,218.6,1024,203.6,389.6,0.325
12.0,240,1944,211.8,797.2,0.588
13.0,264.4,2900,223.2,1188.8,0.868
14.0,286.4,3860,233.8,1584.4,0.991
15.0,306,4944,243.4,1961.8,0.995
16.0,325.8,5996,252.6,2339,0.994
17.0,342,6944,259.4,2740.4,0.992
18.0,364,7912,266,3129.4,0.995
19.0,384.2,8988,271.6,3514.2,0.996
20.0,402.4,10044,279.4,3888.2,0.995
21.0,422.6,10960,287.8,4266,0.992
22.0,442.8,11928,295.2,4660.6,0.993
23.0,465.6,12948,305.8,5054,0.99
24.0,483.6,13892,315.6,5453.2,0.995
25.0,505.6,14876,323.4,5844.4,0.987
26.0,524.8,15864,331,6217.6,0.992
27.0,542.4,16840,339.6,6601.2,0.995
28.0,564.8,17904,348.2,6984,0.992
29.0,586.4,18968,355.6,7381,0.994
30.0,606.2,19996,365.6,7770.6,0.995
31.0,626.2,21020,373.2,8161.4,0.992
32.0,650.6,22032,383.2,8553.4,0.992
33.0,671,22996,391.2,8941,0.997
34.0,691.4,24028,400,9317.6,0.996
35.0,714.4,25116,408.2,9721.4,0.986
36.0,731.8,26100,416.6,10117,0.989
37.0,748.6,27120,424.4,10508.2,0.995
38.0,770.2,27992,431.6,10886.2,0.991
39.0,791.8,28984,439.8,11278.4,0.989
40.0,810.4,29932,449.8,11652.8,0.992
41.0,828,30836,460.4,12053,0.986
42.0,848.6,31840,469.8,12447.8,0.995
43.0,869,32852,478,12845.8,0.994
44.0,890.4,33876,487,13230.6,0.996
45.0,910.8,34868,495.6,13624.2,0.997
46.0,930.4,35932,504,14018.2,0.988
47.0,953,37044,511.6,14405.2,0.993
48.0,976.8,38200,518.8,14791.2,0.995
49.0,997.8,39140,527.2,15180.6,0.988
50.0,1020,40092,533.2,15571.6,0.996
51.0,1040,41144,542.2,15964.8,0.993
52.0,1062.8,42176,551.4,16350.2,0.991
